change_id,system,change_type,change_size,requester_team,requested_window,rollback_plan_exists,rollback_plan_tested,similar_past_changes_count,similar_past_changes_failure_rate,system_incidents_last_90_days,schedule_conflict,description,outcome,true_risk_probability,risk_level
CHG-3033,Website-Frontend,Security-Patch,Small,SRE,Business-Hours-Weekday,No,,30,0.217,0,No,Security-Patch on Website-Frontend (small change) requested by SRE during business hours weekday.,Success,0.182,Medium
CHG-3034,Notification-Service,Config-Update,Small,Data-Engineering,Off-Hours-Weekday,Yes,No,20,0.182,0,No,Config-Update on Notification-Service (small change) requested by Data-Engineering during off hours weekday.,Success,0.021,Low
CHG-3035,Website-Frontend,Database-Schema-Change,Large,Security,Weekend,Yes,No,46,0.122,1,Yes,Database-Schema-Change on Website-Frontend (large change) requested by Security during weekend.,Success,0.462,High
CHG-3036,Reporting-DB,Security-Patch,Medium,Backend,Off-Hours-Weekday,Yes,Yes,59,0.293,0,Yes,Security-Patch on Reporting-DB (medium change) requested by Backend during off hours weekday.,Success,0.092,Low
CHG-3037,Search-Service,Deployment,Small,Platform,Business-Hours-Weekday,Yes,Yes,29,0.028,2,No,Deployment on Search-Service (small change) requested by Platform during business hours weekday.,Success,0.101,Low
CHG-3038,Reporting-DB,Database-Schema-Change,Medium,Data-Engineering,Peak-Hours,Yes,No,46,0.122,1,No,Database-Schema-Change on Reporting-DB (medium change) requested by Data-Engineering during peak hours.,Success,0.372,Medium
CHG-3039,Inventory-API,Deployment,Small,Platform,Off-Hours-Weekday,No,,11,0.299,0,No,Deployment on Inventory-API (small change) requested by Platform during off hours weekday.,Success,0.126,Low
CHG-3040,Notification-Service,Security-Patch,Medium,SRE,Peak-Hours,Yes,No,45,0.098,1,No,Security-Patch on Notification-Service (medium change) requested by SRE during peak hours.,Success,0.268,Medium
CHG-3041,Auth-Service,Deployment,Medium,SRE,Weekend,Yes,Yes,44,0.087,2,Yes,Deployment on Auth-Service (medium change) requested by SRE during weekend.,Success,0.109,Low
CHG-3042,Billing-DB,Database-Schema-Change,Medium,Platform,Weekend,Yes,Yes,2,0.152,2,Yes,Database-Schema-Change on Billing-DB (medium change) requested by Platform during weekend.,Caused-Incident,0.549,High
CHG-3043,Reporting-DB,Security-Patch,Medium,Data-Engineering,Weekend,No,,1,0.5,1,No,Security-Patch on Reporting-DB (medium change) requested by Data-Engineering during weekend.,Failed,0.353,Medium
CHG-3044,Notification-Service,Deployment,Small,Backend,Business-Hours-Weekday,No,,20,0.408,3,No,Deployment on Notification-Service (small change) requested by Backend during business hours weekday.,Caused-Incident,0.58,High
CHG-3045,Payments-Service,Patch,Small,Security,Off-Hours-Weekday,Yes,No,12,0.416,1,No,Patch on Payments-Service (small change) requested by Security during off hours weekday.,Success,0.088,Low
CHG-3046,Reporting-DB,Database-Schema-Change,Medium,SRE,Business-Hours-Weekday,Yes,Yes,44,0.043,0,No,Database-Schema-Change on Reporting-DB (medium change) requested by SRE during business hours weekday.,Success,0.097,Low
CHG-3047,Search-Service,Patch,Medium,SRE,Business-Hours-Weekday,No,,59,0.118,0,No,Patch on Search-Service (medium change) requested by SRE during business hours weekday.,Success,0.073,Low
CHG-3048,Reporting-DB,Patch,Small,SRE,Off-Hours-Weekday,Yes,Yes,57,0.072,0,Yes,Patch on Reporting-DB (small change) requested by SRE during off hours weekday.,Success,0.031,Low
CHG-3049,Reporting-DB,Infrastructure-Change,Small,SRE,Weekend,Yes,Yes,18,0.222,1,No,Infrastructure-Change on Reporting-DB (small change) requested by SRE during weekend.,Success,0.067,Low
CHG-3050,Website-Frontend,Deployment,Small,Data-Engineering,Weekend,Yes,Yes,14,0.239,1,Yes,Deployment on Website-Frontend (small change) requested by Data-Engineering during weekend.,Failed,0.133,Low
CHG-3051,Payments-Service,Config-Update,Small,Backend,Off-Hours-Weekday,Yes,Yes,1,0.428,2,No,Config-Update on Payments-Service (small change) requested by Backend during off hours weekday.,Success,0.108,Low
CHG-3052,Auth-Service,Database-Schema-Change,Medium,SRE,Peak-Hours,Yes,No,36,0.214,1,Yes,Database-Schema-Change on Auth-Service (medium change) requested by SRE during peak hours.,Caused-Incident,0.732,High
CHG-3053,Search-Service,Config-Update,Medium,SRE,Business-Hours-Weekday,Yes,No,42,0.284,0,No,Config-Update on Search-Service (medium change) requested by SRE during business hours weekday.,Caused-Incident,0.061,Low
CHG-3054,Website-Frontend,Database-Schema-Change,Medium,Security,Peak-Hours,No,,7,0.134,1,No,Database-Schema-Change on Website-Frontend (medium change) requested by Security during peak hours.,Success,0.475,High
CHG-3055,Auth-Service,Deployment,Large,SRE,Business-Hours-Weekday,Yes,Yes,15,0.14,2,Yes,Deployment on Auth-Service (large change) requested by SRE during business hours weekday.,Failed,0.469,High
CHG-3056,Reporting-DB,Config-Update,Large,Data-Engineering,Business-Hours-Weekday,Yes,No,23,0.147,2,No,Config-Update on Reporting-DB (large change) requested by Data-Engineering during business hours weekday.,Success,0.338,Medium
CHG-3057,Website-Frontend,Infrastructure-Change,Medium,Security,Peak-Hours,No,,6,0.049,0,No,Infrastructure-Change on Website-Frontend (medium change) requested by Security during peak hours.,Success,0.329,Medium
CHG-3058,Reporting-DB,Database-Schema-Change,Small,Data-Engineering,Business-Hours-Weekday,Yes,Yes,19,0.284,1,Yes,Database-Schema-Change on Reporting-DB (small change) requested by Data-Engineering during business hours weekday.,Success,0.539,High
CHG-3059,Payments-Service,Database-Schema-Change,Small,Platform,Business-Hours-Weekday,No,,5,0.132,1,Yes,Database-Schema-Change on Payments-Service (small change) requested by Platform during business hours weekday.,Failed,0.611,High
CHG-3060,Search-Service,Patch,Small,Platform,Off-Hours-Weekday,No,,15,0.112,1,Yes,Patch on Search-Service (small change) requested by Platform during off hours weekday.,Success,0.296,Medium
CHG-3061,Inventory-API,Config-Update,Medium,Backend,Business-Hours-Weekday,Yes,Yes,37,0.144,0,No,Config-Update on Inventory-API (medium change) requested by Backend during business hours weekday.,Success,0.042,Low
CHG-3062,Payments-Service,Infrastructure-Change,Small,Data-Engineering,Off-Hours-Weekday,No,,56,0.07,1,Yes,Infrastructure-Change on Payments-Service (small change) requested by Data-Engineering during off hours weekday.,Success,0.284,Medium
CHG-3063,Website-Frontend,Database-Schema-Change,Small,Data-Engineering,Off-Hours-Weekday,Yes,Yes,31,0.089,1,No,Database-Schema-Change on Website-Frontend (small change) requested by Data-Engineering during off hours weekday.,Success,0.069,Low
CHG-3064,Billing-DB,Config-Update,Large,DevOps,Peak-Hours,Yes,Yes,28,0.043,1,No,Config-Update on Billing-DB (large change) requested by DevOps during peak hours.,Success,0.171,Medium
CHG-3065,Website-Frontend,Security-Patch,Small,SRE,Business-Hours-Weekday,Yes,Yes,59,0.264,0,No,Security-Patch on Website-Frontend (small change) requested by SRE during business hours weekday.,Success,0.094,Low
CHG-3066,Search-Service,Infrastructure-Change,Small,Platform,Weekend,Yes,Yes,55,0.057,0,Yes,Infrastructure-Change on Search-Service (small change) requested by Platform during weekend.,Success,0.048,Low
CHG-3067,Auth-Service,Database-Schema-Change,Small,Security,Weekend,Yes,Yes,43,0.29,2,No,Database-Schema-Change on Auth-Service (small change) requested by Security during weekend.,Success,0.162,Medium
CHG-3068,Billing-DB,Database-Schema-Change,Medium,Backend,Weekend,No,,39,0.359,1,No,Database-Schema-Change on Billing-DB (medium change) requested by Backend during weekend.,Success,0.396,Medium
CHG-3069,Inventory-API,Patch,Small,Security,Off-Hours-Weekday,Yes,No,26,0.101,0,No,Patch on Inventory-API (small change) requested by Security during off hours weekday.,Success,0.018,Low
CHG-3070,Reporting-DB,Infrastructure-Change,Small,SRE,Off-Hours-Weekday,Yes,No,16,0.153,2,No,Infrastructure-Change on Reporting-DB (small change) requested by SRE during off hours weekday.,Success,0.23,Medium
CHG-3071,Website-Frontend,Patch,Medium,Data-Engineering,Weekend,No,,1,0.21,0,No,Patch on Website-Frontend (medium change) requested by Data-Engineering during weekend.,Success,0.116,Low
CHG-3072,Notification-Service,Patch,Small,Security,Peak-Hours,No,,54,0.203,1,Yes,Patch on Notification-Service (small change) requested by Security during peak hours.,Failed,0.444,High
CHG-3073,Inventory-API,Security-Patch,Small,Platform,Business-Hours-Weekday,No,,13,0.126,1,No,Security-Patch on Inventory-API (small change) requested by Platform during business hours weekday.,Success,0.167,Medium
CHG-3074,Inventory-API,Database-Schema-Change,Small,SRE,Weekend,Yes,No,9,0.318,0,No,Database-Schema-Change on Inventory-API (small change) requested by SRE during weekend.,Success,0.139,Low
CHG-3075,Search-Service,Infrastructure-Change,Small,DevOps,Business-Hours-Weekday,Yes,No,25,0.12,2,No,Infrastructure-Change on Search-Service (small change) requested by DevOps during business hours weekday.,Failed,0.296,Medium
CHG-3076,Notification-Service,Patch,Medium,Backend,Business-Hours-Weekday,Yes,Yes,49,0.404,0,No,Patch on Notification-Service (medium change) requested by Backend during business hours weekday.,Success,0.117,Low
CHG-3077,Billing-DB,Security-Patch,Small,Data-Engineering,Off-Hours-Weekday,Yes,No,3,0.081,0,No,Security-Patch on Billing-DB (small change) requested by Data-Engineering during off hours weekday.,Success,0.037,Low
CHG-3078,Inventory-API,Infrastructure-Change,Small,Security,Business-Hours-Weekday,Yes,No,23,0.088,0,Yes,Infrastructure-Change on Inventory-API (small change) requested by Security during business hours weekday.,Caused-Incident,0.265,Medium
CHG-3079,Billing-DB,Deployment,Small,DevOps,Weekend,No,,49,0.146,3,Yes,Deployment on Billing-DB (small change) requested by DevOps during weekend.,Failed,0.333,Medium
CHG-3080,Payments-Service,Security-Patch,Medium,Security,Business-Hours-Weekday,Yes,Yes,49,0.059,2,No,Security-Patch on Payments-Service (medium change) requested by Security during business hours weekday.,Success,0.114,Low
CHG-3081,Auth-Service,Deployment,Medium,Data-Engineering,Off-Hours-Weekday,Yes,Yes,40,0.099,1,No,Deployment on Auth-Service (medium change) requested by Data-Engineering during off hours weekday.,Success,0.048,Low
CHG-3082,Inventory-API,Security-Patch,Small,Platform,Off-Hours-Weekday,Yes,Yes,40,0.106,0,No,Security-Patch on Inventory-API (small change) requested by Platform during off hours weekday.,Success,0.015,Low
CHG-3083,Billing-DB,Deployment,Medium,Security,Peak-Hours,No,,12,0.01,0,No,Deployment on Billing-DB (medium change) requested by Security during peak hours.,Success,0.191,Medium
CHG-3084,Search-Service,Security-Patch,Large,Security,Weekend,Yes,No,2,0.237,1,No,Security-Patch on Search-Service (large change) requested by Security during weekend.,Success,0.207,Medium
CHG-3085,Notification-Service,Security-Patch,Small,Data-Engineering,Off-Hours-Weekday,Yes,No,19,0.077,3,No,Security-Patch on Notification-Service (small change) requested by Data-Engineering during off hours weekday.,Success,0.195,Medium
CHG-3086,Inventory-API,Patch,Medium,Security,Weekend,Yes,Yes,33,0.279,0,No,Patch on Inventory-API (medium change) requested by Security during weekend.,Success,0.03,Low
CHG-3087,Website-Frontend,Infrastructure-Change,Large,Platform,Business-Hours-Weekday,Yes,No,35,0.135,0,No,Infrastructure-Change on Website-Frontend (large change) requested by Platform during business hours weekday.,Failed,0.227,Medium
CHG-3088,Auth-Service,Database-Schema-Change,Medium,Platform,Off-Hours-Weekday,No,,27,0.027,0,Yes,Database-Schema-Change on Auth-Service (medium change) requested by Platform during off hours weekday.,Success,0.291,Medium
CHG-3089,Auth-Service,Security-Patch,Large,DevOps,Peak-Hours,Yes,Yes,57,0.319,1,No,Security-Patch on Auth-Service (large change) requested by DevOps during peak hours.,Success,0.225,Medium
CHG-3090,Reporting-DB,Patch,Small,DevOps,Business-Hours-Weekday,No,,7,0.119,1,No,Patch on Reporting-DB (small change) requested by DevOps during business hours weekday.,Success,0.149,Low
CHG-3091,Payments-Service,Patch,Medium,DevOps,Weekend,Yes,Yes,2,0.235,2,No,Patch on Payments-Service (medium change) requested by DevOps during weekend.,Success,0.116,Low
CHG-3092,Reporting-DB,Database-Schema-Change,Medium,Security,Weekend,Yes,Yes,25,0.058,0,No,Database-Schema-Change on Reporting-DB (medium change) requested by Security during weekend.,Success,0.046,Low
CHG-3093,Notification-Service,Database-Schema-Change,Small,Platform,Business-Hours-Weekday,Yes,Yes,3,0.109,0,No,Database-Schema-Change on Notification-Service (small change) requested by Platform during business hours weekday.,Success,0.163,Medium
CHG-3094,Website-Frontend,Deployment,Large,Platform,Peak-Hours,Yes,No,5,0.352,2,No,Deployment on Website-Frontend (large change) requested by Platform during peak hours.,Failed,0.769,High
CHG-3095,Inventory-API,Patch,Small,Platform,Weekend,Yes,Yes,21,0.217,0,Yes,Patch on Inventory-API (small change) requested by Platform during weekend.,Success,0.037,Low
CHG-3096,Notification-Service,Deployment,Medium,Data-Engineering,Peak-Hours,Yes,Yes,56,0.151,2,Yes,Deployment on Notification-Service (medium change) requested by Data-Engineering during peak hours.,Success,0.357,Medium
CHG-3097,Search-Service,Database-Schema-Change,Large,DevOps,Off-Hours-Weekday,Yes,Yes,20,0.266,0,No,Database-Schema-Change on Search-Service (large change) requested by DevOps during off hours weekday.,Success,0.188,Medium
CHG-3098,Auth-Service,Patch,Small,Backend,Off-Hours-Weekday,No,,43,0.119,1,No,Patch on Auth-Service (small change) requested by Backend during off hours weekday.,Success,0.045,Low
CHG-3099,Reporting-DB,Patch,Small,Backend,Off-Hours-Weekday,Yes,Yes,35,0.439,0,No,Patch on Reporting-DB (small change) requested by Backend during off hours weekday.,Success,0.043,Low
CHG-3100,Reporting-DB,Patch,Medium,Platform,Business-Hours-Weekday,Yes,No,51,0.309,2,No,Patch on Reporting-DB (medium change) requested by Platform during business hours weekday.,Success,0.165,Medium
CHG-3101,Billing-DB,Config-Update,Small,Security,Business-Hours-Weekday,No,,37,0.201,0,No,Config-Update on Billing-DB (small change) requested by Security during business hours weekday.,Success,0.101,Low
CHG-3102,Search-Service,Infrastructure-Change,Medium,SRE,Weekend,Yes,Yes,10,0.166,1,No,Infrastructure-Change on Search-Service (medium change) requested by SRE during weekend.,Success,0.099,Low
CHG-3103,Payments-Service,Infrastructure-Change,Small,Security,Off-Hours-Weekday,Yes,Yes,49,0.239,0,Yes,Infrastructure-Change on Payments-Service (small change) requested by Security during off hours weekday.,Success,0.112,Low
CHG-3104,Search-Service,Deployment,Small,SRE,Business-Hours-Weekday,No,,14,0.5,2,Yes,Deployment on Search-Service (small change) requested by SRE during business hours weekday.,Failed,0.796,High
CHG-3105,Inventory-API,Patch,Medium,Backend,Business-Hours-Weekday,Yes,Yes,33,0.287,1,No,Patch on Inventory-API (medium change) requested by Backend during business hours weekday.,Success,0.114,Low
CHG-3106,Search-Service,Database-Schema-Change,Small,SRE,Off-Hours-Weekday,Yes,Yes,33,0.095,1,Yes,Database-Schema-Change on Search-Service (small change) requested by SRE during off hours weekday.,Success,0.233,Medium
CHG-3107,Reporting-DB,Database-Schema-Change,Small,Platform,Business-Hours-Weekday,Yes,Yes,40,0.045,0,No,Database-Schema-Change on Reporting-DB (small change) requested by Platform during business hours weekday.,Success,0.077,Low
CHG-3108,Search-Service,Database-Schema-Change,Small,Backend,Business-Hours-Weekday,No,,0,0.19,0,No,Database-Schema-Change on Search-Service (small change) requested by Backend during business hours weekday.,Success,0.254,Medium
CHG-3109,Auth-Service,Deployment,Small,Data-Engineering,Weekend,No,,24,0.118,2,No,Deployment on Auth-Service (small change) requested by Data-Engineering during weekend.,Success,0.124,Low
CHG-3110,Inventory-API,Patch,Small,Platform,Weekend,Yes,No,11,0.117,0,Yes,Patch on Inventory-API (small change) requested by Platform during weekend.,Success,0.071,Low
CHG-3111,Reporting-DB,Deployment,Medium,Data-Engineering,Off-Hours-Weekday,Yes,No,23,0.217,1,Yes,Deployment on Reporting-DB (medium change) requested by Data-Engineering during off hours weekday.,Failed,0.334,Medium
CHG-3112,Website-Frontend,Infrastructure-Change,Small,DevOps,Peak-Hours,Yes,Yes,46,0.225,1,Yes,Infrastructure-Change on Website-Frontend (small change) requested by DevOps during peak hours.,Success,0.301,Medium
CHG-3113,Search-Service,Security-Patch,Medium,SRE,Business-Hours-Weekday,No,,23,0.315,0,No,Security-Patch on Search-Service (medium change) requested by SRE during business hours weekday.,Success,0.178,Medium
CHG-3114,Notification-Service,Database-Schema-Change,Large,Security,Business-Hours-Weekday,Yes,No,21,0.087,1,No,Database-Schema-Change on Notification-Service (large change) requested by Security during business hours weekday.,Success,0.411,High
CHG-3115,Auth-Service,Patch,Medium,Platform,Business-Hours-Weekday,Yes,Yes,39,0.045,0,No,Patch on Auth-Service (medium change) requested by Platform during business hours weekday.,Success,0.036,Low
CHG-3116,Inventory-API,Database-Schema-Change,Small,Security,Off-Hours-Weekday,No,,44,0.089,0,Yes,Database-Schema-Change on Inventory-API (small change) requested by Security during off hours weekday.,Success,0.261,Medium
CHG-3117,Inventory-API,Infrastructure-Change,Medium,Security,Business-Hours-Weekday,Yes,Yes,44,0.181,0,No,Infrastructure-Change on Inventory-API (medium change) requested by Security during business hours weekday.,Success,0.088,Low
CHG-3118,Auth-Service,Database-Schema-Change,Large,Backend,Off-Hours-Weekday,Yes,Yes,19,0.025,0,No,Database-Schema-Change on Auth-Service (large change) requested by Backend during off hours weekday.,Success,0.081,Low
CHG-3119,Payments-Service,Security-Patch,Large,Platform,Business-Hours-Weekday,Yes,Yes,38,0.257,0,Yes,Security-Patch on Payments-Service (large change) requested by Platform during business hours weekday.,Success,0.416,High
CHG-3120,Search-Service,Deployment,Medium,Data-Engineering,Off-Hours-Weekday,No,,51,0.13,0,No,Deployment on Search-Service (medium change) requested by Data-Engineering during off hours weekday.,Success,0.081,Low
CHG-3121,Billing-DB,Security-Patch,Medium,DevOps,Off-Hours-Weekday,Yes,No,37,0.127,0,Yes,Security-Patch on Billing-DB (medium change) requested by DevOps during off hours weekday.,Success,0.103,Low
CHG-3122,Notification-Service,Deployment,Medium,Security,Business-Hours-Weekday,Yes,Yes,32,0.371,2,No,Deployment on Notification-Service (medium change) requested by Security during business hours weekday.,Success,0.145,Low
CHG-3123,Billing-DB,Patch,Medium,SRE,Weekend,Yes,Yes,57,0.029,1,No,Patch on Billing-DB (medium change) requested by SRE during weekend.,Success,0.016,Low
CHG-3124,Reporting-DB,Deployment,Medium,Platform,Business-Hours-Weekday,Yes,No,19,0.114,0,No,Deployment on Reporting-DB (medium change) requested by Platform during business hours weekday.,Success,0.101,Low
CHG-3125,Search-Service,Security-Patch,Large,DevOps,Business-Hours-Weekday,Yes,No,59,0.195,0,No,Security-Patch on Search-Service (large change) requested by DevOps during business hours weekday.,Success,0.199,Medium
CHG-3126,Reporting-DB,Database-Schema-Change,Medium,SRE,Weekend,Yes,Yes,16,0.167,0,No,Database-Schema-Change on Reporting-DB (medium change) requested by SRE during weekend.,Success,0.078,Low
CHG-3127,Website-Frontend,Database-Schema-Change,Small,DevOps,Business-Hours-Weekday,Yes,Yes,13,0.205,0,Yes,Database-Schema-Change on Website-Frontend (small change) requested by DevOps during business hours weekday.,Failed,0.305,Medium
CHG-3128,Payments-Service,Config-Update,Medium,Platform,Weekend,Yes,No,26,0.186,1,Yes,Config-Update on Payments-Service (medium change) requested by Platform during weekend.,Success,0.128,Low
CHG-3129,Auth-Service,Security-Patch,Large,SRE,Weekend,Yes,Yes,29,0.022,0,No,Security-Patch on Auth-Service (large change) requested by SRE during weekend.,Success,0.034,Low
CHG-3130,Search-Service,Infrastructure-Change,Medium,Platform,Off-Hours-Weekday,Yes,No,42,0.018,1,No,Infrastructure-Change on Search-Service (medium change) requested by Platform during off hours weekday.,Success,0.065,Low
CHG-3131,Website-Frontend,Database-Schema-Change,Small,Platform,Peak-Hours,Yes,No,55,0.132,0,No,Database-Schema-Change on Website-Frontend (small change) requested by Platform during peak hours.,Success,0.24,Medium
CHG-3132,Inventory-API,Patch,Medium,Data-Engineering,Business-Hours-Weekday,Yes,No,9,0.022,2,Yes,Patch on Inventory-API (medium change) requested by Data-Engineering during business hours weekday.,Success,0.276,Medium
CHG-3133,Website-Frontend,Database-Schema-Change,Medium,DevOps,Peak-Hours,Yes,No,12,0.131,2,Yes,Database-Schema-Change on Website-Frontend (medium change) requested by DevOps during peak hours.,Caused-Incident,0.774,High
CHG-3134,Inventory-API,Patch,Medium,DevOps,Weekend,No,,17,0.133,1,No,Patch on Inventory-API (medium change) requested by DevOps during weekend.,Success,0.084,Low
CHG-3135,Billing-DB,Config-Update,Medium,DevOps,Off-Hours-Weekday,Yes,Yes,2,0.25,1,No,Config-Update on Billing-DB (medium change) requested by DevOps during off hours weekday.,Failed,0.039,Low
CHG-3136,Billing-DB,Patch,Small,Backend,Weekend,Yes,Yes,48,0.15,0,No,Patch on Billing-DB (small change) requested by Backend during weekend.,Success,0.015,Low
CHG-3137,Reporting-DB,Security-Patch,Medium,SRE,Business-Hours-Weekday,Yes,No,17,0.455,0,No,Security-Patch on Reporting-DB (medium change) requested by SRE during business hours weekday.,Failed,0.347,Medium
CHG-3138,Payments-Service,Database-Schema-Change,Small,DevOps,Peak-Hours,Yes,Yes,28,0.195,3,No,Database-Schema-Change on Payments-Service (small change) requested by DevOps during peak hours.,Failed,0.414,High
